Testing endpoint tetr=42 and laci=13
t0 = 32 ; l0 = 13 <- t1 = 33 ; l1 = 13 <- t2 = 23 ; l2 = 13
t0 = 32 ; l0 = 13 <- t1 = 22 ; l1 = 13 <- t2 = 12 ; l2 = 13
t0 = 32 ; l0 = 13 <- t1 = 32 ; l1 = 3 <- t2 = 32 ; l2 = 4
t0 = 32 ; l0 = 13 <- t1 = 32 ; l1 = 14 <- t2 = 32 ; l2 = 15
t0 = 32 ; l0 = 13 <- t1 = 32 ; l1 = 14 <- t2 = 33 ; l2 = 14
t0 = 32 ; l0 = 13 <- t1 = 22 ; l1 = 13 <- t2 = 22 ; l2 = 14
t0 = 32 ; l0 = 13 <- t1 = 32 ; l1 = 14 <- t2 = 22 ; l2 = 14
t0 = 32 ; l0 = 13 <- t1 = 33 ; l1 = 13 <- t2 = 33 ; l2 = 14
t0 = 32 ; l0 = 13 <- t1 = 33 ; l1 = 13 <- t2 = 34 ; l2 = 13
t0 = 32 ; l0 = 13 <- t1 = 22 ; l1 = 13 <- t2 = 22 ; l2 = 3
t0 = 32 ; l0 = 13 <- t1 = 22 ; l1 = 13 <- t2 = 23 ; l2 = 13
t0 = 32 ; l0 = 13 <- t1 = 32 ; l1 = 3 <- t2 = 22 ; l2 = 3
t0 = 32 ; l0 = 13 <- t1 = 33 ; l1 = 13 <- t2 = 33 ; l2 = 3
t0 = 32 ; l0 = 13 <- t1 = 32 ; l1 = 14 <- t2 = 32 ; l2 = 4
t0 = 32 ; l0 = 13 <- t1 = 32 ; l1 = 3 <- t2 = 33 ; l2 = 3
