Testing endpoint tetr=47 and laci=6
t0 = 37 ; l0 = 6 <- t1 = 37 ; l1 = 7 <- t2 = 37 ; l2 = 8
t0 = 37 ; l0 = 6 <- t1 = 27 ; l1 = 6 <- t2 = 27 ; l2 = 7
t0 = 37 ; l0 = 6 <- t1 = 38 ; l1 = 6 <- t2 = 38 ; l2 = 7
t0 = 37 ; l0 = 6 <- t1 = 37 ; l1 = 7 <- t2 = 27 ; l2 = 7
t0 = 37 ; l0 = 6 <- t1 = 27 ; l1 = 6 <- t2 = 17 ; l2 = 6
t0 = 37 ; l0 = 6 <- t1 = 27 ; l1 = 6 <- t2 = 28 ; l2 = 6
t0 = 37 ; l0 = 6 <- t1 = 38 ; l1 = 6 <- t2 = 28 ; l2 = 6
t0 = 37 ; l0 = 6 <- t1 = 37 ; l1 = 7 <- t2 = 38 ; l2 = 7
t0 = 37 ; l0 = 6 <- t1 = 38 ; l1 = 6 <- t2 = 39 ; l2 = 6
