Testing endpoint tetr=46 and laci=11
t0 = 36 ; l0 = 11 <- t1 = 36 ; l1 = 12 <- t2 = 36 ; l2 = 13
t0 = 36 ; l0 = 11 <- t1 = 26 ; l1 = 11 <- t2 = 16 ; l2 = 11
t0 = 36 ; l0 = 11 <- t1 = 37 ; l1 = 11 <- t2 = 27 ; l2 = 11
t0 = 36 ; l0 = 11 <- t1 = 36 ; l1 = 12 <- t2 = 26 ; l2 = 12
t0 = 36 ; l0 = 11 <- t1 = 36 ; l1 = 12 <- t2 = 37 ; l2 = 12
t0 = 36 ; l0 = 11 <- t1 = 36 ; l1 = 1 <- t2 = 37 ; l2 = 1
t0 = 36 ; l0 = 11 <- t1 = 37 ; l1 = 11 <- t2 = 37 ; l2 = 12
t0 = 36 ; l0 = 11 <- t1 = 37 ; l1 = 11 <- t2 = 38 ; l2 = 11
t0 = 36 ; l0 = 11 <- t1 = 26 ; l1 = 11 <- t2 = 26 ; l2 = 1
t0 = 36 ; l0 = 11 <- t1 = 26 ; l1 = 11 <- t2 = 26 ; l2 = 12
t0 = 36 ; l0 = 11 <- t1 = 26 ; l1 = 11 <- t2 = 27 ; l2 = 11
t0 = 36 ; l0 = 11 <- t1 = 36 ; l1 = 12 <- t2 = 36 ; l2 = 2
t0 = 36 ; l0 = 11 <- t1 = 36 ; l1 = 1 <- t2 = 26 ; l2 = 1
t0 = 36 ; l0 = 11 <- t1 = 37 ; l1 = 11 <- t2 = 37 ; l2 = 1
t0 = 36 ; l0 = 11 <- t1 = 36 ; l1 = 1 <- t2 = 36 ; l2 = 2
