Testing endpoint tetr=42 and laci=15
t0 = 32 ; l0 = 15 <- t1 = 32 ; l1 = 16 <- t2 = 32 ; l2 = 17
t0 = 32 ; l0 = 15 <- t1 = 22 ; l1 = 15 <- t2 = 22 ; l2 = 16
t0 = 32 ; l0 = 15 <- t1 = 33 ; l1 = 15 <- t2 = 33 ; l2 = 16
t0 = 32 ; l0 = 15 <- t1 = 22 ; l1 = 15 <- t2 = 12 ; l2 = 15
t0 = 32 ; l0 = 15 <- t1 = 33 ; l1 = 15 <- t2 = 23 ; l2 = 15
t0 = 32 ; l0 = 15 <- t1 = 22 ; l1 = 15 <- t2 = 23 ; l2 = 15
t0 = 32 ; l0 = 15 <- t1 = 32 ; l1 = 16 <- t2 = 22 ; l2 = 16
t0 = 32 ; l0 = 15 <- t1 = 32 ; l1 = 16 <- t2 = 33 ; l2 = 16
t0 = 32 ; l0 = 15 <- t1 = 32 ; l1 = 5 <- t2 = 22 ; l2 = 5
t0 = 32 ; l0 = 15 <- t1 = 33 ; l1 = 15 <- t2 = 34 ; l2 = 15
t0 = 32 ; l0 = 15 <- t1 = 22 ; l1 = 15 <- t2 = 22 ; l2 = 5
t0 = 32 ; l0 = 15 <- t1 = 32 ; l1 = 16 <- t2 = 32 ; l2 = 6
t0 = 32 ; l0 = 15 <- t1 = 32 ; l1 = 5 <- t2 = 32 ; l2 = 6
t0 = 32 ; l0 = 15 <- t1 = 33 ; l1 = 15 <- t2 = 33 ; l2 = 5
t0 = 32 ; l0 = 15 <- t1 = 32 ; l1 = 5 <- t2 = 33 ; l2 = 5
