Testing endpoint tetr=41 and laci=11
t0 = 31 ; l0 = 11 <- t1 = 21 ; l1 = 11 <- t2 = 11 ; l2 = 11
t0 = 31 ; l0 = 11 <- t1 = 32 ; l1 = 11 <- t2 = 33 ; l2 = 11
t0 = 31 ; l0 = 11 <- t1 = 31 ; l1 = 12 <- t2 = 21 ; l2 = 12
t0 = 31 ; l0 = 11 <- t1 = 32 ; l1 = 11 <- t2 = 22 ; l2 = 11
t0 = 31 ; l0 = 11 <- t1 = 31 ; l1 = 1 <- t2 = 32 ; l2 = 1
t0 = 31 ; l0 = 11 <- t1 = 21 ; l1 = 11 <- t2 = 22 ; l2 = 11
t0 = 31 ; l0 = 11 <- t1 = 31 ; l1 = 12 <- t2 = 32 ; l2 = 12
t0 = 31 ; l0 = 11 <- t1 = 31 ; l1 = 12 <- t2 = 31 ; l2 = 13
t0 = 31 ; l0 = 11 <- t1 = 21 ; l1 = 11 <- t2 = 21 ; l2 = 1
t0 = 31 ; l0 = 11 <- t1 = 21 ; l1 = 11 <- t2 = 21 ; l2 = 12
t0 = 31 ; l0 = 11 <- t1 = 32 ; l1 = 11 <- t2 = 32 ; l2 = 12
t0 = 31 ; l0 = 11 <- t1 = 31 ; l1 = 12 <- t2 = 31 ; l2 = 2
t0 = 31 ; l0 = 11 <- t1 = 32 ; l1 = 11 <- t2 = 32 ; l2 = 1
t0 = 31 ; l0 = 11 <- t1 = 31 ; l1 = 1 <- t2 = 31 ; l2 = 2
t0 = 31 ; l0 = 11 <- t1 = 31 ; l1 = 1 <- t2 = 21 ; l2 = 1
