Testing endpoint tetr=48 and laci=13
t0 = 38 ; l0 = 13 <- t1 = 28 ; l1 = 13 <- t2 = 28 ; l2 = 14
t0 = 38 ; l0 = 13 <- t1 = 38 ; l1 = 14 <- t2 = 28 ; l2 = 14
t0 = 38 ; l0 = 13 <- t1 = 39 ; l1 = 13 <- t2 = 29 ; l2 = 13
t0 = 38 ; l0 = 13 <- t1 = 38 ; l1 = 14 <- t2 = 38 ; l2 = 15
t0 = 38 ; l0 = 13 <- t1 = 28 ; l1 = 13 <- t2 = 18 ; l2 = 13
t0 = 38 ; l0 = 13 <- t1 = 39 ; l1 = 13 <- t2 = 40 ; l2 = 13
t0 = 38 ; l0 = 13 <- t1 = 38 ; l1 = 14 <- t2 = 39 ; l2 = 14
t0 = 38 ; l0 = 13 <- t1 = 28 ; l1 = 13 <- t2 = 29 ; l2 = 13
t0 = 38 ; l0 = 13 <- t1 = 39 ; l1 = 13 <- t2 = 39 ; l2 = 14
t0 = 38 ; l0 = 13 <- t1 = 38 ; l1 = 3 <- t2 = 38 ; l2 = 4
t0 = 38 ; l0 = 13 <- t1 = 38 ; l1 = 14 <- t2 = 38 ; l2 = 4
t0 = 38 ; l0 = 13 <- t1 = 28 ; l1 = 13 <- t2 = 28 ; l2 = 3
t0 = 38 ; l0 = 13 <- t1 = 38 ; l1 = 3 <- t2 = 28 ; l2 = 3
t0 = 38 ; l0 = 13 <- t1 = 38 ; l1 = 3 <- t2 = 39 ; l2 = 3
t0 = 38 ; l0 = 13 <- t1 = 39 ; l1 = 13 <- t2 = 39 ; l2 = 3
