Testing endpoint tetr=44 and laci=16
t0 = 34 ; l0 = 16 <- t1 = 24 ; l1 = 16 <- t2 = 14 ; l2 = 16
t0 = 34 ; l0 = 16 <- t1 = 35 ; l1 = 16 <- t2 = 35 ; l2 = 17
t0 = 34 ; l0 = 16 <- t1 = 34 ; l1 = 17 <- t2 = 34 ; l2 = 18
t0 = 34 ; l0 = 16 <- t1 = 34 ; l1 = 17 <- t2 = 24 ; l2 = 17
t0 = 34 ; l0 = 16 <- t1 = 24 ; l1 = 16 <- t2 = 25 ; l2 = 16
t0 = 34 ; l0 = 16 <- t1 = 34 ; l1 = 17 <- t2 = 35 ; l2 = 17
t0 = 34 ; l0 = 16 <- t1 = 35 ; l1 = 16 <- t2 = 36 ; l2 = 16
t0 = 34 ; l0 = 16 <- t1 = 24 ; l1 = 16 <- t2 = 24 ; l2 = 17
t0 = 34 ; l0 = 16 <- t1 = 35 ; l1 = 16 <- t2 = 25 ; l2 = 16
t0 = 34 ; l0 = 16 <- t1 = 34 ; l1 = 6 <- t2 = 34 ; l2 = 7
t0 = 34 ; l0 = 16 <- t1 = 24 ; l1 = 16 <- t2 = 24 ; l2 = 6
t0 = 34 ; l0 = 16 <- t1 = 35 ; l1 = 16 <- t2 = 35 ; l2 = 6
t0 = 34 ; l0 = 16 <- t1 = 34 ; l1 = 17 <- t2 = 34 ; l2 = 7
t0 = 34 ; l0 = 16 <- t1 = 34 ; l1 = 6 <- t2 = 35 ; l2 = 6
t0 = 34 ; l0 = 16 <- t1 = 34 ; l1 = 6 <- t2 = 24 ; l2 = 6
