Testing endpoint tetr=49 and laci=11
t0 = 39 ; l0 = 11 <- t1 = 29 ; l1 = 11 <- t2 = 19 ; l2 = 11
t0 = 39 ; l0 = 11 <- t1 = 39 ; l1 = 12 <- t2 = 39 ; l2 = 13
t0 = 39 ; l0 = 11 <- t1 = 40 ; l1 = 11 <- t2 = 30 ; l2 = 11
t0 = 39 ; l0 = 11 <- t1 = 40 ; l1 = 11 <- t2 = 40 ; l2 = 12
t0 = 39 ; l0 = 11 <- t1 = 39 ; l1 = 12 <- t2 = 29 ; l2 = 12
t0 = 39 ; l0 = 11 <- t1 = 39 ; l1 = 12 <- t2 = 40 ; l2 = 12
t0 = 39 ; l0 = 11 <- t1 = 29 ; l1 = 11 <- t2 = 29 ; l2 = 12
t0 = 39 ; l0 = 11 <- t1 = 29 ; l1 = 11 <- t2 = 30 ; l2 = 11
t0 = 39 ; l0 = 11 <- t1 = 39 ; l1 = 12 <- t2 = 39 ; l2 = 2
t0 = 39 ; l0 = 11 <- t1 = 39 ; l1 = 1 <- t2 = 39 ; l2 = 2
t0 = 39 ; l0 = 11 <- t1 = 39 ; l1 = 1 <- t2 = 29 ; l2 = 1
t0 = 39 ; l0 = 11 <- t1 = 40 ; l1 = 11 <- t2 = 40 ; l2 = 1
t0 = 39 ; l0 = 11 <- t1 = 39 ; l1 = 1 <- t2 = 40 ; l2 = 1
t0 = 39 ; l0 = 11 <- t1 = 29 ; l1 = 11 <- t2 = 29 ; l2 = 1
