Testing endpoint tetr=49 and laci=13
t0 = 39 ; l0 = 13 <- t1 = 29 ; l1 = 13 <- t2 = 29 ; l2 = 14
t0 = 39 ; l0 = 13 <- t1 = 39 ; l1 = 14 <- t2 = 39 ; l2 = 15
t0 = 39 ; l0 = 13 <- t1 = 40 ; l1 = 13 <- t2 = 40 ; l2 = 14
t0 = 39 ; l0 = 13 <- t1 = 40 ; l1 = 13 <- t2 = 30 ; l2 = 13
t0 = 39 ; l0 = 13 <- t1 = 29 ; l1 = 13 <- t2 = 19 ; l2 = 13
t0 = 39 ; l0 = 13 <- t1 = 39 ; l1 = 14 <- t2 = 29 ; l2 = 14
t0 = 39 ; l0 = 13 <- t1 = 29 ; l1 = 13 <- t2 = 30 ; l2 = 13
t0 = 39 ; l0 = 13 <- t1 = 39 ; l1 = 14 <- t2 = 40 ; l2 = 14
t0 = 39 ; l0 = 13 <- t1 = 39 ; l1 = 3 <- t2 = 39 ; l2 = 4
t0 = 39 ; l0 = 13 <- t1 = 39 ; l1 = 3 <- t2 = 40 ; l2 = 3
t0 = 39 ; l0 = 13 <- t1 = 29 ; l1 = 13 <- t2 = 29 ; l2 = 3
t0 = 39 ; l0 = 13 <- t1 = 39 ; l1 = 14 <- t2 = 39 ; l2 = 4
t0 = 39 ; l0 = 13 <- t1 = 40 ; l1 = 13 <- t2 = 40 ; l2 = 3
t0 = 39 ; l0 = 13 <- t1 = 39 ; l1 = 3 <- t2 = 29 ; l2 = 3
