Testing endpoint tetr=45 and laci=15
t0 = 35 ; l0 = 15 <- t1 = 35 ; l1 = 16 <- t2 = 35 ; l2 = 17
t0 = 35 ; l0 = 15 <- t1 = 25 ; l1 = 15 <- t2 = 25 ; l2 = 16
t0 = 35 ; l0 = 15 <- t1 = 36 ; l1 = 15 <- t2 = 36 ; l2 = 16
t0 = 35 ; l0 = 15 <- t1 = 35 ; l1 = 16 <- t2 = 25 ; l2 = 16
t0 = 35 ; l0 = 15 <- t1 = 25 ; l1 = 15 <- t2 = 15 ; l2 = 15
t0 = 35 ; l0 = 15 <- t1 = 35 ; l1 = 16 <- t2 = 36 ; l2 = 16
t0 = 35 ; l0 = 15 <- t1 = 36 ; l1 = 15 <- t2 = 37 ; l2 = 15
t0 = 35 ; l0 = 15 <- t1 = 25 ; l1 = 15 <- t2 = 26 ; l2 = 15
t0 = 35 ; l0 = 15 <- t1 = 36 ; l1 = 15 <- t2 = 26 ; l2 = 15
t0 = 35 ; l0 = 15 <- t1 = 35 ; l1 = 5 <- t2 = 35 ; l2 = 6
t0 = 35 ; l0 = 15 <- t1 = 35 ; l1 = 5 <- t2 = 36 ; l2 = 5
t0 = 35 ; l0 = 15 <- t1 = 35 ; l1 = 16 <- t2 = 35 ; l2 = 6
t0 = 35 ; l0 = 15 <- t1 = 35 ; l1 = 5 <- t2 = 25 ; l2 = 5
t0 = 35 ; l0 = 15 <- t1 = 25 ; l1 = 15 <- t2 = 25 ; l2 = 5
t0 = 35 ; l0 = 15 <- t1 = 36 ; l1 = 15 <- t2 = 36 ; l2 = 5
