Testing endpoint tetr=48 and laci=4
t0 = 38 ; l0 = 4 <- t1 = 28 ; l1 = 4 <- t2 = 28 ; l2 = 5
t0 = 38 ; l0 = 4 <- t1 = 39 ; l1 = 4 <- t2 = 39 ; l2 = 5
t0 = 38 ; l0 = 4 <- t1 = 38 ; l1 = 5 <- t2 = 28 ; l2 = 5
t0 = 38 ; l0 = 4 <- t1 = 28 ; l1 = 4 <- t2 = 29 ; l2 = 4
t0 = 38 ; l0 = 4 <- t1 = 38 ; l1 = 5 <- t2 = 38 ; l2 = 6
t0 = 38 ; l0 = 4 <- t1 = 39 ; l1 = 4 <- t2 = 29 ; l2 = 4
t0 = 38 ; l0 = 4 <- t1 = 28 ; l1 = 4 <- t2 = 18 ; l2 = 4
t0 = 38 ; l0 = 4 <- t1 = 39 ; l1 = 4 <- t2 = 40 ; l2 = 4
t0 = 38 ; l0 = 4 <- t1 = 38 ; l1 = 5 <- t2 = 39 ; l2 = 5
