Testing endpoint tetr=48 and laci=16
t0 = 38 ; l0 = 16 <- t1 = 38 ; l1 = 17 <- t2 = 38 ; l2 = 18
t0 = 38 ; l0 = 16 <- t1 = 39 ; l1 = 16 <- t2 = 39 ; l2 = 17
t0 = 38 ; l0 = 16 <- t1 = 28 ; l1 = 16 <- t2 = 18 ; l2 = 16
t0 = 38 ; l0 = 16 <- t1 = 39 ; l1 = 16 <- t2 = 40 ; l2 = 16
t0 = 38 ; l0 = 16 <- t1 = 38 ; l1 = 17 <- t2 = 28 ; l2 = 17
t0 = 38 ; l0 = 16 <- t1 = 28 ; l1 = 16 <- t2 = 29 ; l2 = 16
t0 = 38 ; l0 = 16 <- t1 = 28 ; l1 = 16 <- t2 = 28 ; l2 = 17
t0 = 38 ; l0 = 16 <- t1 = 39 ; l1 = 16 <- t2 = 29 ; l2 = 16
t0 = 38 ; l0 = 16 <- t1 = 38 ; l1 = 17 <- t2 = 39 ; l2 = 17
t0 = 38 ; l0 = 16 <- t1 = 38 ; l1 = 6 <- t2 = 38 ; l2 = 7
t0 = 38 ; l0 = 16 <- t1 = 28 ; l1 = 16 <- t2 = 28 ; l2 = 6
t0 = 38 ; l0 = 16 <- t1 = 38 ; l1 = 6 <- t2 = 39 ; l2 = 6
t0 = 38 ; l0 = 16 <- t1 = 38 ; l1 = 17 <- t2 = 38 ; l2 = 7
t0 = 38 ; l0 = 16 <- t1 = 39 ; l1 = 16 <- t2 = 39 ; l2 = 6
t0 = 38 ; l0 = 16 <- t1 = 38 ; l1 = 6 <- t2 = 28 ; l2 = 6
